Model,Dataset,Missing Rate (%),Métrica,Teste,Mecanismo
lpr1,fri_c4_1000_100,60,MAE,0.202782499025347,MAR-MEDIAN
lpr1,fri_c4_1000_100,60,MAE,0.21159418332243,MAR-MEDIAN
lpr1,fri_c4_1000_100,60,MAE,0.20579727901614,MAR-MEDIAN
lpr1,fri_c4_1000_100,60,MAE,0.273711585167838,MAR-MEDIAN
lpr2,sylva_prior,10,MAE,0.0794606310348601,MAR-MEDIAN
lpr2,sylva_prior,10,MAE,0.0872939765907955,MAR-MEDIAN
lpr2,sylva_prior,10,MAE,0.0636791693596438,MAR-MEDIAN
lpr2,sylva_prior,10,MAE,0.0856821622303074,MAR-MEDIAN
lpr2,sylva_prior,10,MAE,0.0568961745666215,MAR-MEDIAN
lpr2,sylva_prior,20,MAE,0.0669713355157797,MAR-MEDIAN
lpr2,sylva_prior,20,MAE,0.0620293860471847,MAR-MEDIAN
lpr2,sylva_prior,20,MAE,0.0862036353860614,MAR-MEDIAN
lpr2,sylva_prior,20,MAE,0.0918993049171832,MAR-MEDIAN
lpr2,sylva_prior,20,MAE,0.0841255064080409,MAR-MEDIAN
lpr2,sylva_prior,40,MAE,0.0649711326641154,MAR-MEDIAN
lpr2,sylva_prior,40,MAE,0.073286500800274,MAR-MEDIAN
lpr2,sylva_prior,40,MAE,0.0781990854631834,MAR-MEDIAN
lpr2,sylva_prior,40,MAE,0.0767412727666599,MAR-MEDIAN
lpr2,sylva_prior,40,MAE,0.0666628662886369,MAR-MEDIAN
lpr2,sylva_prior,60,MAE,0.0836674477767674,MAR-MEDIAN
lpr2,sylva_prior,60,MAE,0.0811203799341468,MAR-MEDIAN
lpr2,sylva_prior,60,MAE,0.0618530299834947,MAR-MEDIAN
lpr2,sylva_prior,60,MAE,0.078693212345846,MAR-MEDIAN
lpr2,sylva_prior,60,MAE,0.0622043956420244,MAR-MEDIAN
lpr2,fri_c4_1000_100,10,MAE,0.578983251423066,MAR-MEDIAN
lpr2,fri_c4_1000_100,10,MAE,0.103447416083975,MAR-MEDIAN
lpr2,fri_c4_1000_100,10,MAE,0.0987754255706451,MAR-MEDIAN
lpr2,fri_c4_1000_100,10,MAE,0.189132652662638,MAR-MEDIAN
lpr2,fri_c4_1000_100,10,MAE,0.346874742907348,MAR-MEDIAN
lpr2,fri_c4_1000_100,20,MAE,0.13343002964918,MAR-MEDIAN
lpr2,fri_c4_1000_100,20,MAE,0.233360817049897,MAR-MEDIAN
lpr2,fri_c4_1000_100,20,MAE,0.599343990365551,MAR-MEDIAN
lpr2,fri_c4_1000_100,20,MAE,0.337045801740516,MAR-MEDIAN
lpr2,fri_c4_1000_100,20,MAE,0.121470500307161,MAR-MEDIAN
lpr2,fri_c4_1000_100,40,MAE,0.244677587954955,MAR-MEDIAN
lpr2,fri_c4_1000_100,40,MAE,0.18986547696814,MAR-MEDIAN
lpr2,fri_c4_1000_100,40,MAE,0.261499470128116,MAR-MEDIAN
lpr2,fri_c4_1000_100,40,MAE,0.190833774657596,MAR-MEDIAN
lpr2,fri_c4_1000_100,40,MAE,0.124081839825395,MAR-MEDIAN
lpr2,fri_c4_1000_100,60,MAE,0.180695104409508,MAR-MEDIAN
lpr2,fri_c4_1000_100,60,MAE,0.194693136175712,MAR-MEDIAN
lpr2,fri_c4_1000_100,60,MAE,0.320408773953054,MAR-MEDIAN
lpr2,fri_c4_1000_100,60,MAE,0.164608293059487,MAR-MEDIAN
lpr2,fri_c4_1000_100,60,MAE,0.21777040828699,MAR-MEDIAN
lpr3,sylva_prior,10,MAE,0.0644521391529237,MAR-MEDIAN
lpr3,sylva_prior,10,MAE,0.0826689367254818,MAR-MEDIAN
lpr3,sylva_prior,10,MAE,0.0879121967291124,MAR-MEDIAN
lpr3,sylva_prior,10,MAE,0.0783017701092779,MAR-MEDIAN
lpr3,sylva_prior,10,MAE,0.0785756956807992,MAR-MEDIAN
lpr3,sylva_prior,20,MAE,0.0801363547027146,MAR-MEDIAN
lpr3,sylva_prior,20,MAE,0.077903338548609,MAR-MEDIAN
lpr3,sylva_prior,20,MAE,0.0866795756288,MAR-MEDIAN
lpr3,sylva_prior,20,MAE,0.0786070202935097,MAR-MEDIAN
lpr3,sylva_prior,20,MAE,0.0764330312422137,MAR-MEDIAN
lpr3,sylva_prior,40,MAE,0.0593247409727662,MAR-MEDIAN
lpr3,sylva_prior,40,MAE,0.0784249824378128,MAR-MEDIAN
lpr3,sylva_prior,40,MAE,0.0706905004625045,MAR-MEDIAN
lpr3,sylva_prior,40,MAE,0.0674823212034611,MAR-MEDIAN
lpr3,sylva_prior,40,MAE,0.0692710020252099,MAR-MEDIAN
lpr3,sylva_prior,60,MAE,0.092444423432856,MAR-MEDIAN
lpr3,sylva_prior,60,MAE,0.0817867509640143,MAR-MEDIAN
lpr3,sylva_prior,60,MAE,0.0713438243994818,MAR-MEDIAN
lpr3,sylva_prior,60,MAE,0.0821892337844014,MAR-MEDIAN
lpr3,sylva_prior,60,MAE,0.0659887365478449,MAR-MEDIAN
lpr3,fri_c4_1000_100,10,MAE,1.03838727068971,MAR-MEDIAN
lpr3,fri_c4_1000_100,10,MAE,0.112227501732797,MAR-MEDIAN
lpr3,fri_c4_1000_100,10,MAE,0.114955496446679,MAR-MEDIAN
lpr3,fri_c4_1000_100,10,MAE,0.270652020708909,MAR-MEDIAN
lpr3,fri_c4_1000_100,10,MAE,0.122112183452276,MAR-MEDIAN
lpr3,fri_c4_1000_100,20,MAE,0.124560054032289,MAR-MEDIAN
lpr3,fri_c4_1000_100,20,MAE,0.14126276031575,MAR-MEDIAN
lpr3,fri_c4_1000_100,20,MAE,0.319367052159241,MAR-MEDIAN
lpr3,fri_c4_1000_100,20,MAE,0.134699131256939,MAR-MEDIAN
lpr3,fri_c4_1000_100,20,MAE,0.157574197907687,MAR-MEDIAN
lpr3,fri_c4_1000_100,40,MAE,0.118313590458004,MAR-MEDIAN
lpr3,fri_c4_1000_100,40,MAE,0.151811027009,MAR-MEDIAN
lpr3,fri_c4_1000_100,40,MAE,0.151243349981934,MAR-MEDIAN
lpr3,fri_c4_1000_100,40,MAE,0.153154313152908,MAR-MEDIAN
lpr3,fri_c4_1000_100,40,MAE,0.204063603300609,MAR-MEDIAN
lpr3,fri_c4_1000_100,60,MAE,0.204914379624551,MAR-MEDIAN
lpr3,fri_c4_1000_100,60,MAE,0.250312604399015,MAR-MEDIAN
lpr3,fri_c4_1000_100,60,MAE,0.371283994367557,MAR-MEDIAN
