mean,knn,mice,pmivae,saei,lpr2
0.7970330671573812,0.8161084068400093,0.7787269055300422,0.6008709599638883,0.6750040966911472,0.8054753992083873
0.44057151126170524,0.4200565214406753,0.4148611069692252,0.4204210858022852,0.41195803896866523,0.37763968255306524
0.9290477018693802,1.1778882335355734,0.9594556033526223,1.1728714214818963,0.9093394214924393,1.1662855378703043
0.9198828776184912,0.9115508159027033,0.9076036913248603,0.9168640884330153,0.9196648272525493,0.9196883594032622
1.0367392683716221,1.0325196554085843,1.0391252461114993,1.0343412990682812,1.0288553885555003,1.0367511892400603
0.7540499046039052,0.7492363596819892,0.7411319135959712,0.7496294063101192,0.7470089068467652,0.7520627597595122
1.2189373707427893,1.2132555351846501,1.1842184269759701,1.2140873229487512,1.2183373071680312,1.2159221335442751
1.2658997386423712,1.2594106782695431,1.2610244909378272,1.2623576528921412,1.2609722418380174,1.2570033913268963
1.425079334008622,1.1609787885420133,1.3668400124649573,1.4233860295870226,1.4027907739610803,1.3780085083728053
1.4029191964600993,1.3831219468233382,1.3869789749735102,1.417128259346301,1.2868000032422962,1.2780777209720882
1.3823737428984413,1.3797820805498322,1.0557784903750411,1.2079442004216412,1.2472005612598132,0.9120945476564343
1.3126795394650101,1.3430889195014772,1.2502271026471243,1.3614422081741033,1.154491950261891,1.1743927362814692
1.3998713524384971,1.3725905031952703,1.2426019707061964,1.3920764882183252,1.3634354864338283,1.3899680377148242
1.2001670635383421,1.2978972181279662,1.3990294437529531,1.2509693193785052,1.2831150893366892,1.3063521899996502
1.4060465476965331,1.2575328921411433,1.4019469786334153,1.2975530086560303,1.3835460542406353,1.3980201899956213
1.2665108795420752,0.8962877702613552,1.3279929857812702,1.3872439170828093,1.1854371132774262,1.1873537972065051
1.3173936961776773,1.3537696133458463,1.1864464675117763,1.2312408934202583,1.3488660894830793,1.3420321657836403
1.2778703468727732,1.3825666760359583,1.3202357290249103,1.2650404868822673,1.2153523097096193,1.3771504359778872
1.1448900251286123,1.1734935178108512,1.2652101128789393,1.2799509050165931,1.2850698267115803,1.2673855263235492
1.1787218627272262,1.3000396127910112,1.3023519221232223,1.3002858685426173,1.2921176172064923,1.2986229486914693
1.0663002632629683,1.0747757032638723,1.0387601037095493,1.0707204019270862,0.9023919569043772,1.0545593517857932
0.8609145539349683,0.8573952034474542,0.8541876941119972,0.8797653479720492,0.8813407290468642,0.8681361820349742
1.2471129485628762,1.2329892771069022,1.1869510311328804,1.2486242540264483,1.2685991439957311,1.2305453701506892
1.1538283009932373,1.1463618389430712,1.1486824097198973,1.1508223436217053,1.1519871351567732,1.1533636330108883
1.2237925193755972,1.2194450282100113,1.2194748233034893,1.2208780294422943,1.2159627974319571,1.2236746524831663
1.0751500290819103,1.0671471788384412,1.0435147058388812,1.0699039765202811,1.0698001655859242,1.0723562057156022
1.3023319017914412,1.2939789218847872,1.2571381413576732,1.2960487750835992,1.2920744373170063,1.2992036005026983
1.3248581092211922,1.3171764706283593,1.2941278755476582,1.3196874308970132,1.3187105863693862,1.3157377257666392
1.3871104563007803,1.2744981303565361,1.2501360654389022,1.4083271220237032,1.3895086724002323,1.2667609500670303
1.447241718959316,1.431325070434492,0.8320541465053143,1.4094994238477143,1.3963232241324253,1.3215730610538452
1.2446045578065532,1.3724139457362443,1.2761529538460112,1.3170469719591802,1.3187530947704174,1.2499390678938693
1.2637969407181153,1.3978530003666112,1.3048287447289442,1.2765958112419913,1.3605360387396412,1.3206047633643894
1.3890741350584772,1.3792276566314172,1.3193224670486483,1.3433171948035683,1.3755382181399503,1.3873566981965904
1.3132867301032731,1.3416126107291662,1.3824462617502142,1.3577775170032973,1.2982614654364573,1.3347024107533383
1.2899123119222562,1.2886402864605773,1.3874303136139872,1.4005601412275763,1.3977990061749013,1.3475639685365512
1.1932688433453342,1.1508823151573362,1.2315702337388872,1.2607030332245444,1.1545624751418033,1.1125753945277432
1.2573267237733994,1.2304791172334613,1.3292362301602512,1.3273458129671682,1.2298382254202003,1.3400246040311363
1.2570531634673232,1.3362705644698072,1.3499678542736242,1.2501546778730293,1.2598727648198922,1.2788517898208953
1.3118805547321923,1.2444218060752923,0.9808568176998063,1.3113073254400351,1.3320876731102813,1.3031764276681743
1.3157521620033523,1.2628490859101271,1.1558841313060093,1.2879687155488513,1.2281970303083733,1.3205009036036404
1.1195029648635821,1.1380303954104252,0.7546500355302412,1.1880349383566453,1.1540154609461453,1.1814998148459321
